Dataset,Baseline_Avg_Lookup_us,Hybrid_Avg_Lookup_us
ODS-french,3.6259499996958766,2.4597900002845563
enable,3.6396800001966767,3.6337799996545073
german,3.465940000023693,1.1625200000707991
italian,3.04928999976255,2.9393500000878703
sowpods,3.4183600000687875,3.0646100000012666
synthetic_skewed,4.742979999718955,0.811960000282852
twl,3.757210000185296,3.1490699999267235
